INFO:root:Epoch 107, Train Loss: 0.07367, Accuracy: 0.9610, Purity: 0.9221, Efficiency: 0.9223
INFO:root:Epoch 108, Train Loss: 0.07389, Accuracy: 0.9607, Purity: 0.9246, Efficiency: 0.9181
INFO:root:Epoch 109, Train Loss: 0.07356, Accuracy: 0.9611, Purity: 0.9241, Efficiency: 0.9206
INFO:root:Epoch 110, Train Loss: 0.07355, Accuracy: 0.9610, Purity: 0.9237, Efficiency: 0.9204
INFO:root:Epoch 111, Train Loss: 0.07330, Accuracy: 0.9606, Purity: 0.9207, Efficiency: 0.9224
INFO:root:Epoch 112, Train Loss: 0.07340, Accuracy: 0.9612, Purity: 0.9246, Efficiency: 0.9203
INFO:root:Epoch 113, Train Loss: 0.07328, Accuracy: 0.9603, Purity: 0.9163, Efficiency: 0.9261
INFO:root:Epoch 114, Train Loss: 0.07308, Accuracy: 0.9613, Purity: 0.9270, Efficiency: 0.9180
INFO:root:Epoch 115, Train Loss: 0.07318, Accuracy: 0.9611, Purity: 0.9245, Efficiency: 0.9198
INFO:root:Epoch 116, Train Loss: 0.07289, Accuracy: 0.9609, Purity: 0.9220, Efficiency: 0.9220
INFO:root:Epoch 117, Train Loss: 0.07279, Accuracy: 0.9613, Purity: 0.9241, Efficiency: 0.9215
INFO:root:Epoch 118, Train Loss: 0.07254, Accuracy: 0.9595, Purity: 0.9389, Efficiency: 0.8970
INFO:root:Epoch 119, Train Loss: 0.07255, Accuracy: 0.9609, Purity: 0.9227, Efficiency: 0.9215
INFO:root:Epoch 120, Train Loss: 0.07247, Accuracy: 0.9616, Purity: 0.9320, Efficiency: 0.9135
INFO:root:Epoch 121, Train Loss: 0.07204, Accuracy: 0.9605, Purity: 0.9157, Efficiency: 0.9280
INFO:root:Epoch 122, Train Loss: 0.07200, Accuracy: 0.9617, Purity: 0.9262, Efficiency: 0.9207
INFO:root:Epoch 123, Train Loss: 0.07186, Accuracy: 0.9596, Purity: 0.9253, Efficiency: 0.9125
INFO:root:Epoch 124, Train Loss: 0.07199, Accuracy: 0.9604, Purity: 0.9204, Efficiency: 0.9218
INFO:root:Epoch 125, Train Loss: 0.07178, Accuracy: 0.9614, Purity: 0.9271, Efficiency: 0.9182
INFO:root:Epoch 126, Train Loss: 0.07172, Accuracy: 0.9615, Purity: 0.9266, Efficiency: 0.9192
INFO:root:Epoch 127, Train Loss: 0.07158, Accuracy: 0.9608, Purity: 0.9341, Efficiency: 0.9077
INFO:root:Epoch 128, Train Loss: 0.07149, Accuracy: 0.9613, Purity: 0.9219, Efficiency: 0.9237
INFO:root:Epoch 129, Train Loss: 0.07155, Accuracy: 0.9621, Purity: 0.9313, Efficiency: 0.9166
INFO:root:Epoch 130, Train Loss: 0.07121, Accuracy: 0.9618, Purity: 0.9305, Efficiency: 0.9160
INFO:root:Epoch 131, Train Loss: 0.07126, Accuracy: 0.9588, Purity: 0.9344, Efficiency: 0.8986
INFO:root:Epoch 132, Train Loss: 0.07128, Accuracy: 0.9616, Purity: 0.9330, Efficiency: 0.9122
INFO:root:Epoch 133, Train Loss: 0.07106, Accuracy: 0.9616, Purity: 0.9274, Efficiency: 0.9186
INFO:root:Epoch 134, Train Loss: 0.07104, Accuracy: 0.9617, Purity: 0.9258, Efficiency: 0.9210
INFO:root:Epoch 135, Train Loss: 0.07108, Accuracy: 0.9617, Purity: 0.9286, Efficiency: 0.9179
INFO:root:Epoch 136, Train Loss: 0.07076, Accuracy: 0.9610, Purity: 0.9205, Efficiency: 0.9243
INFO:root:Epoch 137, Train Loss: 0.07071, Accuracy: 0.9611, Purity: 0.9261, Efficiency: 0.9182
INFO:root:Epoch 138, Train Loss: 0.07078, Accuracy: 0.9620, Purity: 0.9291, Efficiency: 0.9184
INFO:root:Epoch 139, Train Loss: 0.07076, Accuracy: 0.9621, Purity: 0.9287, Efficiency: 0.9196
INFO:root:Epoch 140, Train Loss: 0.07065, Accuracy: 0.9616, Purity: 0.9236, Efficiency: 0.9233
INFO:root:Epoch 141, Train Loss: 0.07015, Accuracy: 0.9616, Purity: 0.9259, Efficiency: 0.9206
INFO:root:Epoch 142, Train Loss: 0.07031, Accuracy: 0.9623, Purity: 0.9282, Efficiency: 0.9209
INFO:root:Epoch 143, Train Loss: 0.07013, Accuracy: 0.9609, Purity: 0.9259, Efficiency: 0.9176
INFO:root:Epoch 144, Train Loss: 0.06996, Accuracy: 0.9624, Purity: 0.9290, Efficiency: 0.9203
INFO:root:Epoch 145, Train Loss: 0.07016, Accuracy: 0.9619, Purity: 0.9349, Efficiency: 0.9114
INFO:root:Epoch 146, Train Loss: 0.06985, Accuracy: 0.9615, Purity: 0.9233, Efficiency: 0.9233
INFO:root:Epoch 147, Train Loss: 0.06995, Accuracy: 0.9608, Purity: 0.9186, Efficiency: 0.9258
INFO:root:Epoch 148, Train Loss: 0.06978, Accuracy: 0.9624, Purity: 0.9284, Efficiency: 0.9209
INFO:root:Epoch 149, Train Loss: 0.06982, Accuracy: 0.9596, Purity: 0.9167, Efficiency: 0.9230
INFO:root:Epoch 150, Train Loss: 0.06975, Accuracy: 0.9627, Purity: 0.9309, Efficiency: 0.9195
